"codpro","nompro","preciopro","stockpro","fechulticompro","preulticompro","coduni","tamanopro","descripro","fotopro","idcatpro","idimp"
"","",,-2,"2001-01-01",,2,"","","",1,3
"000","CRISTIAN",,,"2001-01-01",,2,"","","",1,3
"0000","CRISTIAN",,,"2001-01-01",,2,"","","",1,3
"011F","pizza 4 estaciones familiar",370.0000,0,"2001-01-01",,4,"","","",2,0
"01F","pizza familiar cantones",490.0000,0,"2001-01-01",,4,"","","",2,0
"01G","pizza cantones grande",350.0000,0,"2001-01-01",,4,"","","",2,0
"01P","pizza cantones personal",250.0000,0,"2001-01-01",,4,"","","",2,0
"02F","pizza jamon familiar",325.0000,-1,"2001-01-01",,4,"","","",2,0
"02G","pizza jamon grande",240.0000,-3,"2001-01-01",,4,"","","",2,0
"02P","pizza jamon personal",150.0000,,"2001-01-01",,4,"","","",2,0
"03F","pizza peperoni familiar",345.0000,0,"2001-01-01",,4,"","","",2,0
"03FS","pizza peperoni supre familiar",345.0000,-1,"2001-01-01",,4,"","","",2,0
"03G","pizza peperoni grande",260.0000,0,"2001-01-01",,4,"","","",2,0
"03GS","pizza peperoni supre grande",260.0000,-1,"2001-01-01",,4,"","","",2,0
"03P","pizza peperoni personal",160.0000,0,"2001-01-01",,4,"","","",2,0
"03PS","pizza peperoni supre personal",160.0000,,"2001-01-01",,4,"","","",2,0
"04F","pizza camaron familiar",525.0000,0,"2001-01-01",,4,"","","",2,0
"04G","pizza camaron grande",375.0000,0,"2001-01-01",,4,"","","",2,0
"04P","pizza camaron personal",250.0000,,"2001-01-01",,4,"","","",2,0
"05F","pizza hawaiana familiar",345.0000,0,"2001-01-01",,4,"","","",2,0
"05G","pizza hawaiana grande",260.0000,0,"2001-01-01",,4,"","","",2,0
"05P","pizza hawaiana personal",170.0000,0,"2001-01-01",,4,"","","",2,0
"06F","pizza pollo familiar",340.0000,-1,"2001-01-01",,4,"","","",2,0
"06G","pizza pollo grande",255.0000,-1,"2001-01-01",,4,"","","",2,0
